Age,Income,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
42,115000,1,3500.0,1,0,0,0,0,0,1
53,69000,4,1000.0,2,0,0,0,0,1,0
44,130000,1,5000.0,1,0,0,0,0,0,1
41,85000,1,4000.0,3,0,0,0,0,1,1
28,135000,2,3300.0,1,0,0,0,0,0,1
31,135000,4,3800.0,2,0,1,0,1,1,1
58,12000,3,300.0,3,0,0,0,0,0,0
46,29000,3,500.0,2,0,0,0,0,0,0
54,133000,2,2600.0,3,0,1,0,0,0,0
50,19000,2,400.0,1,118000,0,0,0,1,0
60,41000,4,1300.0,1,174000,0,0,0,1,1
47,40000,3,2700.0,2,0,0,0,0,1,0
41,82000,1,4000.0,3,0,0,0,0,1,0
33,50000,1,2400.0,2,0,0,0,0,0,0
46,18000,1,900.0,3,0,0,0,0,1,0
27,109000,4,1800.0,3,0,0,0,0,0,0
40,42000,4,2200.0,2,126000,0,0,0,0,0
48,78000,3,1100.0,1,0,0,0,0,1,0
65,51000,2,1100.0,1,0,0,0,0,1,0
25,113000,4,2300.0,3,0,0,0,0,0,1
55,118000,4,5600.0,2,0,1,0,0,1,0
35,29000,4,1100.0,3,0,0,0,0,1,0
43,34000,3,600.0,2,0,0,0,0,0,0
60,64000,2,1700.0,3,236000,0,1,0,1,0
65,121000,1,2000.0,1,0,0,0,0,0,0
38,48000,4,200.0,3,0,0,0,0,1,0
41,80000,1,5200.0,1,0,0,0,0,0,0
54,161000,1,2900.0,1,0,0,0,0,1,0
49,94000,1,300.0,1,0,0,0,0,1,0
66,15000,3,100.0,3,0,0,0,0,1,0
48,74000,1,1200.0,1,0,0,0,0,1,0
61,30000,3,1300.0,2,0,0,0,0,0,0
53,44000,3,1000.0,3,198000,0,0,0,1,1
43,22000,2,300.0,2,0,0,0,0,1,0
56,38000,4,1300.0,1,166000,0,0,0,1,1
24,35000,3,100.0,2,0,0,1,0,1,0
43,69000,4,2900.0,1,0,0,0,0,1,1
42,43000,1,700.0,1,136000,0,0,0,0,0
33,32000,1,600.0,3,166000,0,0,0,1,0
43,49000,1,2800.0,1,0,0,0,0,1,0
41,9000,3,1000.0,2,0,0,0,0,0,0
62,45000,4,1300.0,2,0,0,0,0,1,0
40,82000,3,1000.0,1,309000,0,0,0,0,0
58,92000,2,2800.0,1,103000,0,0,0,0,0
39,39000,3,500.0,3,0,0,0,0,1,0
65,81000,3,1800.0,2,0,0,0,0,1,0
54,35000,1,1500.0,2,0,0,0,0,1,0
58,61000,2,2300.0,3,193000,0,0,0,1,0
41,73000,3,3000.0,1,0,0,0,0,1,0
32,112000,1,4600.0,1,366000,0,0,0,0,0
54,12000,2,200.0,3,0,0,0,0,1,0
52,38000,3,900.0,3,0,0,0,0,1,0
58,73000,2,700.0,2,0,0,0,0,1,1
37,84000,1,3600.0,2,0,0,1,0,0,0
39,78000,4,2400.0,1,118000,0,0,0,1,0
60,80000,3,500.0,1,0,0,0,0,1,0
31,115000,2,1300.0,1,101000,0,0,0,1,1
34,82000,1,2700.0,2,251000,0,0,0,1,0
38,74000,2,0.0,1,0,0,1,0,1,0
41,70000,3,500.0,3,0,0,0,0,0,1
28,81000,3,1500.0,1,276000,0,0,0,1,0
58,149000,4,7200.0,2,0,1,0,1,1,1
31,51000,2,1750.0,3,0,0,0,0,0,0
30,39000,3,1100.0,2,0,0,0,0,1,0
53,98000,3,1800.0,2,0,0,0,0,0,0
58,45000,4,2100.0,1,0,0,0,0,1,1
59,49000,4,2500.0,2,0,0,0,0,1,0
49,128000,2,400.0,1,0,0,0,0,0,0
59,42000,3,1500.0,1,0,0,1,1,0,1
59,18000,1,1200.0,3,0,0,0,0,1,0
51,31000,2,400.0,3,161000,0,0,0,1,1
35,58000,3,2000.0,1,149000,0,0,0,1,1
33,48000,1,2100.0,3,0,0,0,0,0,1
25,54000,4,1600.0,1,0,0,0,0,1,1
49,70000,2,1500.0,2,0,0,0,0,0,0
59,124000,1,7400.0,1,0,0,0,0,0,1
46,84000,1,2670.0,2,0,0,0,0,1,1
50,83000,4,3600.0,3,188000,0,0,0,1,0
52,163000,2,400.0,1,116000,0,0,0,1,0
48,42000,3,2200.0,2,0,0,0,0,0,0
46,118000,2,7500.0,1,0,0,0,1,1,1
26,132000,3,6500.0,3,0,1,0,0,0,1
57,24000,1,1300.0,1,0,0,0,0,1,1
60,22000,2,1000.0,1,0,0,1,1,1,1
54,58000,4,1300.0,3,0,0,0,0,0,0
24,60000,4,1600.0,1,0,0,0,0,1,0
26,15000,4,400.0,1,0,0,0,0,0,1
41,83000,4,2670.0,1,0,0,0,0,1,1
32,79000,2,1500.0,3,0,0,0,0,1,1
61,41000,4,1700.0,2,0,0,1,0,1,0
29,134000,4,6500.0,3,0,1,0,0,0,0
61,80000,2,2800.0,1,0,0,0,0,1,0
38,52000,1,2000.0,1,0,0,0,0,0,0
28,70000,4,2600.0,1,0,0,0,0,1,0
53,92000,2,1100.0,1,0,0,1,0,0,0
27,43000,1,1500.0,1,0,0,0,0,1,0
25,21000,3,1000.0,2,0,0,0,0,0,0
33,23000,3,900.0,3,0,0,0,0,1,1
50,13000,4,1000.0,1,0,0,0,0,1,0
27,112000,4,2100.0,3,0,0,0,0,0,1
27,138000,2,2000.0,1,0,0,0,0,1,0
52,11000,3,400.0,1,0,0,1,0,0,0
38,171000,2,7800.0,1,0,0,0,0,1,0
58,42000,4,1500.0,1,0,0,0,0,1,1
42,168000,2,7900.0,2,0,1,0,0,1,0
45,85000,4,1100.0,2,0,0,1,0,1,0
52,44000,3,1000.0,2,135000,0,0,0,1,0
29,65000,4,1800.0,2,244000,0,0,0,0,0
53,24000,4,200.0,1,0,0,0,0,1,1
62,11000,1,100.0,1,0,0,0,0,1,0
51,38000,2,1000.0,3,164000,0,0,0,1,0
36,10000,4,700.0,2,81000,0,0,0,0,0
24,135000,1,1500.0,1,0,0,0,0,1,0
29,148000,3,4100.0,1,0,1,0,0,1,0
52,63000,2,1500.0,2,0,0,1,0,1,0
39,115000,1,1000.0,3,0,0,0,0,1,0
48,45000,1,300.0,1,0,0,0,0,1,1
46,159000,3,1900.0,3,315000,1,0,0,1,0
64,169000,2,2100.0,1,122000,0,0,0,1,0
55,112000,2,1400.0,1,0,0,0,0,1,0
60,93000,1,4300.0,1,0,0,0,0,1,0
51,29000,1,300.0,3,140000,0,0,0,0,0
50,85000,1,2670.0,2,0,0,0,0,1,0
48,21000,4,600.0,1,0,0,0,0,1,1
53,144000,2,6800.0,1,0,0,0,0,1,0
34,13000,4,1000.0,1,95000,0,1,0,1,0
48,165000,1,5000.0,1,0,0,0,0,0,1
55,9000,4,700.0,1,89000,0,0,0,1,0
27,59000,4,0.0,1,90000,0,1,0,1,0
36,158000,1,5100.0,3,0,1,0,1,1,1
32,29000,1,1900.0,3,0,0,0,0,1,1
35,20000,2,1400.0,3,0,0,0,0,1,1
30,68000,4,2000.0,2,0,0,0,0,1,0
58,65000,4,2200.0,1,0,0,0,0,1,0
56,61000,2,1900.0,2,105000,0,0,0,0,0
38,91000,4,1400.0,2,100000,0,0,0,0,1
49,31000,1,1000.0,1,0,0,1,0,1,0
34,71000,4,100.0,2,0,0,0,0,0,0
40,73000,4,2670.0,1,0,0,0,0,1,1
64,172000,4,3100.0,1,282000,1,0,1,1,1
51,20000,2,0.0,1,0,0,0,0,0,0
44,55000,1,200.0,1,0,0,0,0,0,0
46,69000,2,1700.0,1,209000,0,0,0,0,0
57,155000,1,7400.0,1,0,0,0,0,1,0
54,94000,1,1900.0,2,0,0,0,0,0,0
38,92000,2,0.0,1,249000,0,0,0,1,1
27,125000,2,600.0,1,0,0,0,0,0,0
39,74000,3,3000.0,1,0,0,0,0,0,0
44,72000,3,300.0,3,0,0,0,0,1,0
56,61000,1,2200.0,3,0,0,0,0,1,1
32,25000,2,300.0,1,0,0,0,0,0,1
45,83000,2,1700.0,2,0,0,0,0,1,0
26,104000,3,2500.0,1,0,0,0,0,0,0
55,41000,3,1000.0,3,0,0,0,0,1,0
52,58000,4,1800.0,3,91000,0,0,0,0,0
39,93000,1,1500.0,3,0,0,0,0,0,1
24,39000,2,1700.0,2,0,0,0,0,0,0
47,148000,2,7500.0,1,0,0,0,1,1,1
47,53000,4,1900.0,3,98000,0,1,1,0,1
48,71000,2,1700.0,1,145000,0,0,0,0,1
47,92000,1,2800.0,2,0,0,0,0,1,0
35,61000,4,2100.0,3,0,0,0,0,1,0
46,38000,3,2500.0,2,135000,0,0,0,0,0
62,58000,4,1700.0,1,0,0,0,0,1,0
26,80000,1,800.0,2,150000,0,0,0,0,0
38,71000,4,1800.0,3,0,0,0,0,1,0
43,89000,3,500.0,3,0,0,0,0,1,1
62,83000,1,1800.0,3,0,0,0,0,1,0
57,28000,3,200.0,1,0,0,0,0,1,1
28,52000,4,1700.0,2,0,0,0,0,0,0
51,70000,1,1200.0,1,169000,0,0,0,0,0
48,71000,1,1400.0,3,0,0,0,0,0,1
41,75000,1,3700.0,3,280000,0,0,0,0,0
65,170000,3,7900.0,3,99000,1,0,1,1,0
41,78000,4,800.0,1,78000,0,0,0,1,0
35,25000,2,1000.0,2,0,0,0,0,0,0
38,60000,2,600.0,3,0,0,0,0,1,1
53,120000,4,2700.0,2,111000,1,1,1,1,0
55,99000,2,1400.0,1,264000,0,0,0,1,1
26,55000,3,2600.0,3,113000,0,0,0,0,1
30,29000,3,1000.0,2,117000,0,0,0,0,0
54,170000,2,6200.0,2,325000,1,0,0,1,0
65,53000,3,2200.0,1,0,0,0,0,0,1
47,138000,1,0.0,1,0,0,0,0,0,0
65,134000,3,3900.0,3,121000,1,0,0,1,0
66,42000,2,700.0,3,138000,0,0,0,0,1
26,99000,4,2300.0,3,0,0,0,0,0,1
66,18000,3,500.0,1,0,0,0,0,0,1
35,24000,4,300.0,1,0,0,0,0,1,0
56,55000,1,1400.0,1,77000,0,0,0,1,0
51,58000,1,0.0,1,0,0,0,0,0,1
42,111000,2,1200.0,3,251000,1,0,0,1,0
49,33000,1,300.0,3,0,0,0,1,1,1
27,74000,4,1800.0,2,112000,0,0,0,1,1
45,38000,2,700.0,1,0,0,0,0,0,0
49,23000,4,600.0,3,98000,0,1,0,0,0
63,61000,2,1500.0,1,0,0,0,0,1,0
47,81000,1,2900.0,1,138000,0,0,0,0,0
64,129000,1,2500.0,1,0,0,0,0,1,0
43,33000,1,750.0,3,0,0,0,0,0,0
60,63000,4,2200.0,1,0,0,0,0,1,0
40,70000,4,1400.0,2,0,0,0,0,1,0
29,45000,4,200.0,1,158000,0,0,0,1,1
41,65000,3,500.0,3,0,0,0,0,1,0
30,74000,4,2200.0,1,0,0,1,0,0,1
49,50000,4,1800.0,3,0,0,1,0,0,0
30,22000,4,500.0,3,109000,0,0,0,1,0
29,30000,4,1000.0,3,0,0,0,0,0,0
50,21000,4,1000.0,1,0,0,0,0,1,0
39,155000,2,3900.0,1,0,0,0,0,1,0
33,64000,4,2100.0,3,164000,0,0,0,1,0
57,65000,4,2600.0,3,0,0,0,0,0,1
34,71000,4,700.0,3,0,0,0,0,1,0
61,40000,3,500.0,2,0,0,1,0,1,0
44,69000,3,500.0,3,0,0,0,0,1,0
40,69000,3,2330.0,2,0,0,0,0,0,0
51,45000,3,600.0,2,131000,0,0,0,1,0
37,62000,3,700.0,2,0,0,0,0,0,1
44,172000,2,4300.0,3,391000,1,1,1,1,0
42,24000,3,1000.0,2,0,0,0,0,1,1
51,80000,1,4900.0,1,0,0,0,0,0,0
43,8000,3,670.0,2,88000,0,0,0,1,0
30,38000,4,800.0,1,129000,0,0,0,1,1
45,93000,4,2600.0,3,0,0,0,0,0,0
35,55000,1,2000.0,1,0,0,0,0,1,0
60,64000,2,1700.0,3,0,0,0,0,0,1
34,122000,1,0.0,1,0,0,0,0,1,0
55,70000,3,1400.0,3,0,0,0,0,1,0
43,81000,2,3200.0,1,0,0,0,0,0,0
41,159000,1,5500.0,3,0,1,0,1,1,0
34,70000,4,1300.0,1,0,0,1,0,0,0
65,150000,2,6900.0,1,196000,0,0,0,0,0
45,152000,2,7500.0,1,0,0,0,0,1,0
49,195000,4,3000.0,1,617000,1,0,0,0,0
48,22000,1,100.0,1,0,0,0,0,0,0
60,22000,1,1300.0,1,123000,0,0,0,1,0
55,79000,3,800.0,1,0,0,0,0,1,1
42,33000,1,1400.0,3,0,0,0,0,1,0
32,128000,2,4330.0,1,0,0,0,1,1,1
62,91000,1,3800.0,1,0,0,1,0,1,0
57,39000,4,900.0,1,0,0,0,0,1,1
52,121000,1,7300.0,1,167000,0,0,0,1,0
36,21000,1,670.0,3,0,0,1,0,1,0
34,41000,3,2300.0,1,0,0,0,0,0,1
63,45000,2,700.0,3,0,0,0,0,1,0
24,51000,3,300.0,3,0,0,0,0,1,0
57,165000,1,1600.0,2,0,1,0,0,1,0
40,119000,2,4200.0,2,0,1,0,0,1,0
27,110000,4,1800.0,3,190000,0,0,0,1,0
65,20000,3,700.0,2,0,0,0,0,0,1
60,64000,1,800.0,2,248000,0,0,0,0,0
44,101000,3,4400.0,2,82000,1,0,0,0,0
63,101000,1,3900.0,1,0,1,1,1,1,0
59,99000,1,4400.0,1,0,1,0,0,0,0
56,158000,4,6100.0,1,0,1,0,0,0,0
54,89000,1,1900.0,2,0,0,0,0,1,1
52,80000,1,1300.0,3,0,0,0,1,1,1
58,114000,2,2000.0,1,402000,0,0,0,1,0
60,49000,3,500.0,2,0,0,0,0,1,1
28,191000,1,6330.0,1,0,0,0,0,1,0
54,78000,4,1000.0,2,0,0,0,0,1,0
32,28000,3,1000.0,1,0,0,0,0,0,0
59,42000,1,800.0,2,0,0,0,0,1,0
63,140000,1,2500.0,1,0,0,0,0,0,0
48,45000,1,1300.0,2,0,0,0,0,1,0
56,122000,2,300.0,1,360000,0,0,1,1,1
36,65000,3,2600.0,2,0,0,0,0,1,0
57,68000,1,1400.0,3,0,0,0,0,1,0
29,153000,2,2000.0,1,392000,0,0,0,0,0
39,89000,4,1400.0,2,0,0,0,0,0,0
59,91000,1,2600.0,1,0,0,0,0,1,1
31,55000,4,2000.0,2,185000,0,0,0,1,0
43,118000,2,3300.0,1,0,0,0,0,0,1
35,22000,1,670.0,3,103000,0,0,0,0,0
54,63000,3,1400.0,3,138000,0,0,0,1,1
51,12000,4,500.0,2,78000,0,1,0,1,0
44,50000,3,2700.0,2,0,0,0,0,1,0
25,43000,2,1600.0,3,0,0,1,1,1,1
40,173000,4,6600.0,1,0,1,0,1,1,1
26,60000,2,3000.0,1,132000,1,0,0,0,0
39,113000,1,1000.0,3,0,0,1,0,1,0
28,155000,4,5300.0,2,0,1,0,0,1,0
52,91000,4,1000.0,2,0,0,0,0,0,1
53,55000,4,1100.0,2,0,0,0,0,1,0
44,173000,2,1400.0,1,419000,0,0,0,1,0
43,71000,3,300.0,3,0,0,0,0,0,1
56,24000,2,400.0,3,88000,0,0,0,0,0
38,42000,1,2000.0,2,81000,0,0,0,1,0
30,141000,2,4330.0,1,0,0,0,0,1,0
32,32000,1,1900.0,3,0,0,0,0,1,0
35,55000,4,1300.0,1,0,0,0,0,0,0
43,153000,2,7500.0,1,0,0,0,0,1,0
58,113000,2,1400.0,1,270000,0,0,0,0,1
25,30000,2,1700.0,2,0,0,0,0,0,0
54,29000,3,1000.0,3,148000,0,0,0,0,1
57,174000,1,6800.0,2,466000,1,0,0,1,0
50,35000,1,300.0,3,0,0,0,0,1,0
32,98000,2,2000.0,2,175000,0,0,0,1,0
63,30000,2,1000.0,3,159000,0,0,0,1,0
31,58000,2,2500.0,1,0,0,0,0,0,1
36,25000,4,1000.0,1,147000,0,0,0,0,0
58,19000,4,700.0,1,0,0,0,0,0,0
56,44000,4,700.0,2,174000,0,0,0,1,0
49,20000,4,1000.0,1,111000,0,0,0,1,1
30,98000,2,3100.0,1,220000,0,0,0,1,0
33,90000,3,1600.0,1,0,0,0,0,1,0
45,61000,3,700.0,1,0,0,0,0,0,0
30,40000,4,2000.0,2,0,0,0,0,1,0
47,38000,2,2100.0,3,0,0,0,0,0,0
25,28000,2,1700.0,2,0,0,0,0,0,0
63,34000,1,1500.0,3,0,0,0,0,1,1
55,73000,2,2300.0,3,0,0,0,0,1,1
65,133000,4,2000.0,1,0,1,0,0,0,1
44,53000,1,200.0,1,0,0,0,0,1,0
51,21000,4,600.0,3,0,0,0,0,1,1
35,40000,3,900.0,1,0,0,0,0,1,0
30,41000,4,1700.0,2,0,0,0,0,1,0
31,82000,4,1800.0,2,0,0,0,0,1,0
54,100000,4,3400.0,3,0,1,0,0,0,0
45,155000,1,7000.0,1,0,0,0,0,1,1
45,45000,1,200.0,1,0,0,0,0,1,0
58,9000,3,300.0,3,0,0,0,0,0,1
54,48000,4,1800.0,3,0,0,0,0,1,0
53,18000,4,100.0,3,109000,0,1,1,1,1
33,80000,4,3400.0,1,0,0,0,0,1,1
60,64000,2,2800.0,1,0,0,0,0,0,0
50,29000,4,100.0,1,0,0,0,0,0,0
26,48000,3,700.0,2,0,0,0,0,1,0
54,23000,2,400.0,1,0,0,0,0,0,0
28,84000,4,200.0,1,0,0,0,0,1,1
36,179000,3,6600.0,1,0,1,0,0,1,0
29,30000,4,1500.0,2,112000,0,0,0,0,1
54,93000,1,4900.0,1,133000,0,0,1,1,1
55,39000,2,1900.0,2,0,0,0,0,0,0
61,60000,3,500.0,2,182000,0,0,0,0,0
36,133000,1,3800.0,1,290000,0,1,1,1,1
45,125000,1,2400.0,1,0,0,0,0,0,0
64,58000,1,1800.0,3,0,0,0,0,1,0
60,89000,2,2800.0,1,0,0,0,0,1,0
49,82000,1,2670.0,2,125000,0,0,0,1,0
47,110000,2,3300.0,1,0,0,0,0,1,1
60,54000,4,2300.0,3,0,0,1,0,0,0
45,89000,4,1900.0,3,0,0,0,0,1,0
32,42000,3,2300.0,1,0,0,0,0,1,0
52,41000,3,1900.0,2,0,0,0,0,0,1
35,38000,4,1000.0,2,124000,0,0,0,1,0
40,85000,2,400.0,1,0,0,0,0,1,0
53,83000,4,1000.0,2,0,0,0,0,1,0
27,33000,4,1000.0,3,0,0,0,0,0,0
58,50000,4,2100.0,1,0,0,0,0,0,1
47,58000,4,3600.0,3,0,0,0,0,1,1
28,115000,4,3100.0,2,0,1,0,0,0,0
46,145000,2,6300.0,1,0,0,1,1,1,0
43,161000,2,7500.0,1,0,0,0,0,0,0
56,38000,1,200.0,1,0,0,0,0,0,0
28,28000,4,800.0,1,0,0,0,0,1,0
42,75000,3,2330.0,1,0,0,0,0,0,1
32,35000,3,1300.0,1,116000,0,0,0,0,1
62,24000,2,1000.0,1,116000,0,0,0,0,1
37,78000,4,100.0,2,0,0,0,0,1,0
51,113000,1,1300.0,3,161000,0,0,0,1,0
39,75000,3,2100.0,1,224000,0,0,0,1,0
43,91000,1,5700.0,1,0,0,0,0,1,0
52,31000,4,200.0,1,141000,0,0,0,1,1
30,45000,1,1800.0,2,0,0,0,0,1,0
52,80000,3,800.0,1,0,0,0,0,0,0
61,50000,3,1400.0,3,112000,0,0,0,1,0
36,31000,4,1000.0,2,0,0,1,0,1,0
58,113000,2,3800.0,2,119000,1,0,1,1,1
47,29000,4,600.0,1,0,0,0,0,1,0
64,59000,2,1500.0,1,139000,0,0,0,1,0
52,43000,1,1300.0,2,0,0,1,0,1,0
58,122000,1,3000.0,3,115000,1,0,0,1,0
48,29000,1,1000.0,1,0,0,0,0,0,0
64,91000,2,0.0,3,0,0,0,0,1,1
58,65000,3,2200.0,3,0,0,0,0,1,0
47,22000,1,1000.0,1,0,0,0,0,0,1
49,71000,1,1400.0,3,0,0,0,0,0,0
31,60000,4,2000.0,2,0,0,0,0,1,1
61,60000,3,2000.0,3,0,0,0,0,1,0
51,69000,1,300.0,1,0,0,0,0,1,1
28,48000,2,1750.0,3,89000,0,0,0,1,0
39,21000,3,200.0,2,0,0,0,0,0,0
54,53000,4,2800.0,2,0,0,1,0,0,0
50,29000,3,900.0,3,0,0,0,0,0,0
30,60000,4,2200.0,2,0,0,0,0,1,0
64,42000,3,500.0,2,116000,0,0,0,1,0
29,69000,3,300.0,3,0,0,0,0,0,0
48,20000,1,1000.0,1,0,0,0,0,1,1
35,200000,2,3000.0,1,458000,0,0,0,0,0
60,141000,2,2100.0,1,0,0,0,0,1,1
55,81000,2,3700.0,1,0,0,1,0,0,0
29,183000,3,8300.0,3,0,1,0,0,1,0
48,149000,2,5500.0,2,0,1,1,1,1,0
43,83000,4,3600.0,3,0,1,0,0,0,1
66,35000,1,1900.0,2,172000,0,0,0,1,0
25,13000,2,900.0,3,0,0,0,0,1,0
45,39000,1,2400.0,1,0,0,0,0,0,1
34,21000,1,500.0,3,0,0,0,0,1,0
48,10000,2,700.0,3,0,0,0,0,1,1
32,84000,4,1800.0,2,0,0,0,0,0,0
50,30000,4,100.0,1,161000,0,0,0,1,1
43,31000,4,300.0,1,156000,0,0,0,1,0
64,182000,1,1200.0,2,547000,1,0,0,1,0
60,114000,2,6900.0,1,0,0,0,0,1,0
43,152000,3,6100.0,2,0,1,0,0,0,0
60,53000,1,800.0,2,0,0,1,0,0,1
64,24000,4,400.0,2,78000,0,0,0,1,0
44,150000,2,3300.0,1,0,0,0,0,0,1
60,132000,2,6000.0,1,470000,0,0,0,1,1
54,68000,3,1600.0,3,0,0,0,0,1,1
33,53000,1,1200.0,1,0,0,0,0,0,1
56,173000,1,4600.0,2,88000,1,0,1,1,0
29,30000,3,1000.0,2,0,0,0,0,0,0
25,113000,2,200.0,1,0,0,0,0,1,1
60,15000,1,800.0,2,0,0,0,0,1,0
55,84000,2,3700.0,1,304000,0,1,0,1,0
39,88000,4,1400.0,2,0,0,0,0,1,1
37,43000,3,2800.0,1,0,0,0,0,1,0
53,43000,2,2100.0,3,0,0,0,1,1,1
34,90000,2,2700.0,1,0,0,0,0,1,0
42,34000,4,300.0,1,104000,0,1,0,1,0
60,38000,4,1300.0,1,0,0,0,0,1,0
50,173000,1,1000.0,1,0,0,0,0,1,1
41,160000,2,8000.0,1,0,0,0,0,1,0
25,44000,4,600.0,2,0,0,0,0,1,1
50,83000,2,400.0,3,0,0,0,0,1,0
48,94000,4,2600.0,3,0,0,0,0,1,0
32,43000,1,2100.0,3,0,0,0,0,0,1
50,42000,3,1700.0,2,0,0,0,0,1,0
59,34000,2,300.0,1,0,0,0,0,0,0
50,39000,3,1900.0,2,0,0,0,0,1,0
44,70000,1,100.0,2,0,0,0,0,0,0
31,39000,4,1800.0,3,185000,0,0,0,0,1
40,44000,3,2000.0,3,0,0,0,0,1,0
36,69000,3,3100.0,2,0,1,0,0,1,0
51,44000,3,900.0,3,0,0,0,0,0,0
64,32000,3,100.0,3,0,0,0,0,1,0
47,15000,2,700.0,3,0,0,0,0,0,0
52,118000,2,6800.0,1,112000,0,0,0,1,0
51,62000,1,1300.0,2,221000,0,0,0,1,0
31,82000,4,2200.0,2,0,0,0,0,0,0
39,54000,3,3000.0,1,108000,0,0,0,0,1
30,48000,1,2100.0,3,0,0,0,0,0,0
27,74000,3,300.0,3,0,0,0,0,1,0
41,113000,1,1000.0,3,211000,0,0,0,0,1
53,81000,3,1700.0,2,0,0,0,0,0,0
54,43000,3,1000.0,2,169000,0,0,0,0,0
28,34000,1,1800.0,2,0,0,0,0,1,0
34,48000,1,2500.0,3,105000,0,0,0,1,0
61,54000,4,1200.0,2,129000,0,0,0,1,1
48,75000,4,1400.0,2,0,0,0,0,1,0
36,72000,1,2800.0,1,224000,0,0,0,0,0
56,39000,4,900.0,1,0,0,0,0,0,0
24,75000,4,200.0,1,0,0,0,0,1,0
64,79000,2,2800.0,1,179000,0,0,0,0,0
26,205000,1,6330.0,1,271000,0,0,0,0,1
33,65000,2,100.0,1,89000,0,0,0,1,0
64,122000,4,200.0,1,378000,1,0,0,1,0
39,82000,1,800.0,2,0,0,0,0,1,0
54,21000,2,200.0,1,0,0,0,0,0,1
32,50000,4,2100.0,3,0,0,1,1,1,1
62,39000,2,2800.0,1,113000,0,0,1,1,1
27,101000,1,1900.0,1,0,0,0,0,0,0
